0.7399996, 0, 0, 37.53633, 5.798958, 0, 9456.133, -891.8635, -2.947957, 0.01947593, 0.1574723, 141.1693, 2.158939, 1.732906, 25.85516
1.369999, 0.8281412, 0.1066699, 71.53871, 5.616085, -0.08358766010426994681919, 38241.49, -927.7499, -2.947957, 0.01947593, 0.1574723, 285.9108, 2.158939, 1.678372, 26.91173
 
1.379999, 0.6607147, 0.1149513, 71.99368, 5.580574, -0.0717021348391720579416090585, 38773.89, -928.3544, -2.947957, 0.01947593, 0.1574723, 287.9378, 2.158939, 1.677507, 26.9285
 
1.389999, 0.4862548, 0.1215584, 72.44968, 5.549576, -0.0593416885845076767473399415, 39305.37, -928.9598, -2.947957, 0.01947593, 0.1574723, 289.9489, 2.158939, 1.676641, 26.94527
 
1.399999, 0.3070011, 0.126421, 72.90211, 5.518493, -0.0466677122198491973740389415, 39835.82, -929.5664, -2.947957, 0.01947593, 0.1574723, 291.9438, 2.158939, 1.675776, 26.96204
 
1.409999, 0.1252659, 0.129491, 73.35307, 5.488803, -0.0338428745763047941704810585, 40365.89, -930.1741, -2.947957, 0.01947593, 0.1574723, 293.9254, 2.158939, 1.67491, 26.97881
 
1.419999, -0.05658824, 0.1307436, 73.81236, 5.469676, -0.0210319594047781554117880585, 40896.27, -930.783, -2.947957, 0.01947593, 0.1574723, 295.8963, 2.158939, 1.674044, 26.99558
 
1.429999, -0.2361035, 0.1301777, 74.2708, 5.451971, -0.0083962513888685862613114, 41426.85, -931.3929, -2.947957, 0.01947593, 0.1574723, 297.8564, 2.158939, 1.673179, 27.01235
 
1.439999, -0.4108118, 0.1278167, 74.72576, 5.433658, 0.0039046846226032053751211, 41956.86, -932.0038, -2.947957, 0.01947593, 0.1574723, 299.8032, 2.158939, 1.672313, 27.02913
 
1.449999, -0.5781581, 0.1237086, 75.1545, 5.394395, 0.015717192956723040351977, 42483.28, -932.6159, -2.947957, 0.01947593, 0.1574723, 301.7262, 2.158939, 1.671447, 27.0459
 
1.459999, -0.735676, 0.117927, 75.55298, 5.335782, 0.026895678034913605596114, 42999.11, -933.2289, -2.947957, 0.01947593, 0.1574723, 303.6012, 2.158939, 1.670582, 27.06267
 
1.469999, -0.8802933, 0.1105702, 75.78382, 5.134883, 0.0373084811500693718301409415, 43486.3, -933.8433, -2.947957, 0.01947593, 0.1574723, 305.3657, 2.158939, 1.669716, 27.07944
 
1.479999, -1, 0.1017673, 75.84263, 4.799581, 0.0468404876676842172647390585, 43929.23, -934.4586, -2.947957, 0.01947593, 0.1574723, 306.9668, 2.158939, 1.668851, 27.09621
 
1.489999, -1, 0.09176731, 75.80426, 4.404792, 0.055401826995921019400504, 44327.15, -935.0749, -2.947957, 0.01947593, 0.1574723, 308.4044, 2.158939, 1.667985, 27.11298
 
1.499999, -1, 0.08176731, 75.65174, 3.947875, 0.062962368277432964352708, 44661.59, -935.6924, -2.947957, 0.01947593, 0.1574723, 309.6165, 2.158939, 1.667119, 27.12975
 
1.509999, -1, 0.07176732, 75.32638, 3.370726, 0.069556724199602647521466, 44931.23, -936.311, -2.947957, 0.01947593, 0.1574723, 310.601, 2.158939, 1.666254, 27.14652
 
1.519999, -1, 0.06176732, 75.01012, 2.850541, 0.075209328835816441983233, 45141.46, -936.9307, -2.947957, 0.01947593, 0.1574723, 311.3784, 2.158939, 1.665388, 27.16329
 
1.529999, -1, 0.05176732, 74.68615, 2.365967, 0.0799354096086045499128259415, 45297.66, -937.5513, -2.947957, 0.01947593, 0.1574723, 311.9685, 2.158939, 1.664523, 27.18006
 
1.539999, -1, 0.04176732, 74.68249, 1.911875, 0.0839982714458155354548, 45400.23, -942.4813, -2.947957, 0.01947593, 0.1574723, 312.3735, 2.159481, 1.663657, 27.19683
 
1.549999, -1, 0.03176732, 74.71519, 1.504443, 0.08721419906716037666564, 45461.32, -947.7023, -2.947957, 0.01947593, 0.1574723, 312.6357, 2.160089, 1.662791, 27.21361
 
1.559999, -1, 0.02176732, 74.66322, 1.174696, 0.0894423396182747037684110521, 45488.23, -951.1755, -2.947957, 0.01947593, 0.1574723, 312.7805, 2.160486, 1.661926, 27.23038
 
1.569999, -1, 0.01176732, 74.58376, 0.9377899, 0.09069306820642937713570, 45489.85, -953.3558, -2.947957, 0.01947593, 0.1574723, 312.8383, 2.160711, 1.66106, 27.24715
 
1.579999, -1, 0.001767324, 74.44466, 0.728425, 0.0909835936263086910893, 45469.25, -954.641, -2.947957, 0.01947593, 0.1574723, 312.8197, 2.16081, 1.660194, 27.26392
 
1.589999, -1, -0.008232675, 74.28173, 0.5678465, 0.09032827726301182359435, 45431.3, -955.1689, -2.947957, 0.01947593, 0.1574723, 312.7415, 2.1608, 1.659329, 27.28069
 
1.599999, -1, -0.01823268, 74.08135, 0.4267385, 0.0887432500737647131452069527, 45379.46, -955.1056, -2.947957, 0.01947593, 0.1574723, 312.6152, 2.160706, 1.658463, 27.29746
 
1.609999, -1, -0.02823268, 73.87865, 0.3293947, 0.08624716556655859084805, 45317.16, -954.5545, -2.947957, 0.01947593, 0.1574723, 312.4528, 2.160542, 1.657598, 27.31423
 
1.619999, -1, -0.03823268, 73.64498, 0.2394958, 0.0828595620335655907389968245, 45244.53, -953.6122, -2.947957, 0.01947593, 0.1574723, 312.2545, 2.160326, 1.656732, 27.331
 
1.629999, -1, -0.04823267, 73.39185, 0.1661738, 0.07859295374830695772669, 45166.52, -952.2566, -2.947957, 0.01947593, 0.1574723, 312.0374, 2.160054, 1.655866, 27.34777
 
